ID	ploidy	gainSeg	totalGain	lossSeg	totalLoss	file	date
BLM/RECQL5	1	1	72588531	0	0	blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	2021-01-18
BLM	1	2	99709228	1	20585243	blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	58195161	0	0	blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	2021-01-18
BLM	1	0	0	0	0	blm-1-single-f7-r7-c1_S141_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	78562114	0	0	blm-recq5-1-single-f14-r3-c7_S462_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	62127865	0	0	blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r4-c6_S517_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r7-c6_S489_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r6-c2_S527_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	49058008	0	0	blm-recq5-1-single-f15-r4-c1_S512_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r7-c5_S537_.trimmed.mdup.bam	2021-01-18
BLM	1	0	0	0	0	blm-1-single-c10-w31_.trimmed.mdup.bam	2020-08-28
BLM	1	0	0	0	0	blm-1-single-f5-r2-c1_S8_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f12-r1-c6_S349_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r3-c2_S555_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f12-r4-c2_S366_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	92987327	0	0	blm-recq5-2-single-f16-r5-c5_S572_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f12-r1-c2_S345_.trimmed.mdup.bam	2021-01-18
RECQL5	1	1	22227495	1	138361053	recq5-2-single-c6-w12-3d6_S161_.trimmed.mdup.bam	2020-08-18
