ID	TD	ploidy	td_sum	file	norm	norm_td	name
WT	72	1	382572987	fucci-wt-single-f8-r2-c6_S62_.trimmed.mdup.bam	382572987	72	HMM
BLM/RECQL5	32	1	386247302	blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	386247302	32	HMM
BLM/RECQL5	20	1	357029050	blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	357029050	20	HMM
RECQL5	21	1	392007053	recq5-2-single-f11-r2-c3_S304_.trimmed.mdup.bam	392007053	21	HMM
BLM/RECQL5	44	1	423524866	blm-recq5-2-single-f8-r3-c2_S163_.trimmed.mdup.bam	423524866	44	HMM
WT	44	1	450189114	fucci-wt-single-f12-r2-c3_S157_.trimmed.mdup.bam	450189114	44	HMM
BLM/RECQL5	44	1	432859395	blm-recq5-2-single-f12-r2-c4_S354_.trimmed.mdup.bam	432859395	44	HMM
RECQL5	43	1	434624887	recq5-2-single-f11-r2-c5_S306_.trimmed.mdup.bam	434624887	43	HMM
WT	34	1	433107427	fucci-wt-single-f8-r1-c6_S55_.trimmed.mdup.bam	433107427	34	HMM
WT	26	1	354304366	fucci-wt-single-f11-r4-c2_S121_.trimmed.mdup.bam	354304366	26	HMM
WT	36	1	356633987	fucci-wt-single-f8-r5-c4_S81_.trimmed.mdup.bam	356633987	36	HMM
BLM/RECQL5	27	1	384197644	blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	384197644	27	HMM
WT	38	1	400065047	fucci-wt-single-f11-r1-c6_S104_.trimmed.mdup.bam	400065047	38	HMM
WT	36	1	408910670	fucci-wt-single-f12-r4-c4_S172_.trimmed.mdup.bam	408910670	36	HMM
WT	48	1	402780681	fucci-wt-single-f11-r1-c7_S105_.trimmed.mdup.bam	402780681	48	HMM
WT	38	1	419169272	fucci-wt-single-f11-r5-c4_S130_.trimmed.mdup.bam	419169272	38	HMM
WT	41	1	400304438	fucci-wt-single-f12-r2-c7_S161_.trimmed.mdup.bam	400304438	41	HMM
BLM/RECQL5	51	1	439778228	blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	439778228	51	HMM
RECQL5	52	1	434754215	recq5-2-single-f9-r3-c2_S212_.trimmed.mdup.bam	434754215	52	HMM
RECQL5	53	1	436106069	recq5-2-single-f9-r7-c2_S240_.trimmed.mdup.bam	436106069	53	HMM
BLM/RECQL5	46	1	393994760	blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam	393994760	46	HMM
WT	36	1	399631804	fucci-wt-single-f8-r4-c5_S75_.trimmed.mdup.bam	399631804	36	HMM
WT	53	1	431427079	fucci-wt-single-f7-r3-c6_S20_.trimmed.mdup.bam	431427079	53	HMM
WT	34	1	397669466	fucci-wt-single-f8-r5-c3_S80_.trimmed.mdup.bam	397669466	34	HMM
BLM/RECQL5	41	1	418568323	blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	418568323	41	HMM
BLM/RECQL5	38	1	400495391	blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	400495391	38	HMM
RECQL5	43	1	426564785	recq5-2-single-f10-r5-c4_S277_.trimmed.mdup.bam	426564785	43	HMM
WT	36	1	435069590	fucci-wt-single-f7-r6-c7_S42_.trimmed.mdup.bam	435069590	36	HMM
WT	37	1	403189310	fucci-wt-single-f11-r2-c6_S111_.trimmed.mdup.bam	403189310	37	HMM
WT	31	1	386229267	fucci-wt-single-f12-r2-c1_S155_.trimmed.mdup.bam	386229267	31	HMM
BLM/RECQL5	45	1	385911563	blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	385911563	45	HMM
BLM/RECQL5	44	1	405980899	blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	405980899	44	HMM
WT	40	1	411600210	fucci-wt-single-f11-r6-c5_S138_.trimmed.mdup.bam	411600210	40	HMM
WT	37	1	399445940	fucci-wt-single-f12-r1-c4_S151_.trimmed.mdup.bam	399445940	37	HMM
BLM/RECQL5	32	1	404482782	blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	404482782	32	HMM
WT	34	1	369864122	fucci-wt-single-f11-r1-c2_S100_.trimmed.mdup.bam	369864122	34	HMM
WT	36	1	403547218	fucci-wt-single-f11-r3-c7_S119_.trimmed.mdup.bam	403547218	36	HMM
BLM/RECQL5	21	1	361640526	blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	361640526	21	HMM
RECQL5	41	1	394319534	recq5-2-single-f11-r3-c6_S314_.trimmed.mdup.bam	394319534	41	HMM
BLM/RECQL5	35	1	402667693	blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	402667693	35	HMM
BLM/RECQL5	24	1	390036776	blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	390036776	24	HMM
BLM/RECQL5	37	1	402298112	blm-recq5-2-single-f16-r4-c1_S561_.trimmed.mdup.bam	402298112	37	HMM
WT	36	1	408534469	fucci-wt-single-f12-r6-c2_S184_.trimmed.mdup.bam	408534469	36	HMM
BLM/RECQL5	20	1	348867191	blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	348867191	20	HMM
WT	26	1	387445277	fucci-wt-single-f7-r3-c4_S18_.trimmed.mdup.bam	387445277	26	HMM
WT	36	1	384479204	fucci-wt-single-f8-r7-c4_S95_.trimmed.mdup.bam	384479204	36	HMM
BLM/RECQL5	26	1	378910870	blm-recq5-2-single-f16-r7-c1_S582_.trimmed.mdup.bam	378910870	26	HMM
WT	28	1	352833767	fucci-wt-single-f8-r4-c4_S74_.trimmed.mdup.bam	352833767	28	HMM
WT	35	1	365554836	fucci-wt-single-f12-r1-c1_S148_.trimmed.mdup.bam	365554836	35	HMM
WT	23	1	384786466	fucci-wt-single-f8-r2-c5_S61_.trimmed.mdup.bam	384786466	23	HMM
RECQL5	32	1	405369350	recq5-2-single-f11-r6-c3_S332_.trimmed.mdup.bam	405369350	32	HMM
WT	36	1	393338829	fucci-wt-single-f11-r4-c1_S120_.trimmed.mdup.bam	393338829	36	HMM
WT	35	1	408845170	fucci-wt-single-f7-r6-c1_S36_.trimmed.mdup.bam	408845170	35	HMM
RECQL5	44	1	427555751	recq5-2-single-f11-r4-c5_S320_.trimmed.mdup.bam	427555751	44	HMM
BLM/RECQL5	41	1	418174144	blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	418174144	41	HMM
RECQL5	45	1	420342381	recq5-2-single-f11-r4-c3_S318_.trimmed.mdup.bam	420342381	45	HMM
RECQL5	30	1	378310319	recq5-2-single-f11-r2-c4_S305_.trimmed.mdup.bam	378310319	30	HMM
RECQL5	34	1	374348441	recq5-2-single-f11-r5-c6_S328_.trimmed.mdup.bam	374348441	34	HMM
BLM/RECQL5	32	1	396821082	blm-recq5-2-single-f16-r1-c2_S541_.trimmed.mdup.bam	396821082	32	HMM
RECQL5	23	1	367234928	recq5-2-single-f11-r2-c1_S302_.trimmed.mdup.bam	367234928	23	HMM
WT	16	1	348299262	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam	348299262	16	HMM
WT	17	1	362589726	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam	362589726	17	HMM
WT	23	1	332209212	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam	332209212	23	HMM
WT	32	1	357617607	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam	357617607	32	HMM
BLM/RECQL5	29	1	405837733	blm-recq5-2-single-f16-r3-c1_S554_.trimmed.mdup.bam	405837733	29	HMM
BLM/RECQL5	39	1	384165807	blm-recq5-2-single-f16-r4-c6_S566_.trimmed.mdup.bam	384165807	39	HMM
BLM/RECQL5	25	1	380500155	blm_recq5-2-single-c16-w45_.trimmed.mdup.bam	380500155	25	HMM
BLM	32	1	370515845	blm-1-single-c10-w15_.trimmed.mdup.bam	370515845	32	HMM
BLM/RECQL5	23	1	353960853	blm-recq5-2-single-c12-w39-3d6_S482_.trimmed.mdup.bam	353960853	23	HMM
BLM/RECQL5	40	1	384486976	blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	384486976	40	HMM
WT	27	1	378584978	fucci-wt-single-f7-r4-c5_S26_.trimmed.mdup.bam	378584978	27	HMM
BLM/RECQL5	28	1	396873237	blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	396873237	28	HMM
BLM/RECQL5	23	1	398318004	blm-recq5-2-single-f16-r3-c5_S558_.trimmed.mdup.bam	398318004	23	HMM
WT	43	1	405301709	fucci-wt-single-f11-r3-c5_S117_.trimmed.mdup.bam	405301709	43	HMM
WT	43	1	396001736	fucci-wt-single-f7-r2-c6_S13_.trimmed.mdup.bam	396001736	43	HMM
WT	32	1	395573071	fucci-wt-single-f8-r3-c6_S69_.trimmed.mdup.bam	395573071	32	HMM
WT	37	1	375913753	fucci-wt-single-f7-r1-c4_S4_.trimmed.mdup.bam	375913753	37	HMM
WT	32	1	376871075	fucci-wt-single-f11-r7-c6_S146_.trimmed.mdup.bam	376871075	32	HMM
RECQL5	35	1	392483684	recq5-2-single-f11-r5-c3_S325_.trimmed.mdup.bam	392483684	35	HMM
BLM/RECQL5	37	1	396092646	blm-recq5-2-single-f12-r3-c2_S359_.trimmed.mdup.bam	396092646	37	HMM
