ID	TD	ploidy	td_sum	file	norm_td	norm
WT	11	1	355257612	fucci-wt-single-f7-r6-c3_S38_.trimmed.mdup.bam	11	355257612
WT	18	1	362862180	fucci-wt-single-f7-r3-c6_S20_.trimmed.mdup.bam	18	362862180
WT	18	1	382309813	fucci-wt-single-f11-r1-c6_S104_.trimmed.mdup.bam	18	382309813
WT	13	1	396783766	fucci-wt-single-f12-r2-c1_S155_.trimmed.mdup.bam	13	396783766
WT	15	1	356279772	fucci-wt-single-f11-r3-c5_S117_.trimmed.mdup.bam	15	356279772
RECQL5	12	1	352645656	recq5-2-single-f11-r6-c3_S332_.trimmed.mdup.bam	12	352645656
BLM/RECQL5	12	1	372692572	blm_recq5-2-single-c16-w33_.trimmed.mdup.bam	12	372692572
RECQL5	13	1	387932018	recq5-2-single-c11-w9_.trimmed.mdup.bam	13	387932018
WT	9	1	351853996	wt-fucci-single-c15-w45-3d6_S611_.trimmed.mdup.bam	9	351853996
BLM/RECQL5	14	1	358288346	blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	14	358288346
BLM/RECQL5	14	1	401434267	blm_recq5-2-single-c16-w34_.trimmed.mdup.bam	14	401434267
BLM/RECQL5	12	1	351591852	blm_recq5-2-single-c16-w45_.trimmed.mdup.bam	12	351591852
BLM/RECQL5	11	1	356121110	blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	11	356121110
WT	10	1	349327659	fucci-wt-single-f11-r4-c5_S124_.trimmed.mdup.bam	10	349327659
WT	10	1	371319098	fucci-wt-single-f8-r2-c5_S61_.trimmed.mdup.bam	10	371319098
BLM/RECQL5	8	1	349227313	blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	8	349227313
WT	10	1	351226393	fucci-wt-single-f7-r3-c4_S18_.trimmed.mdup.bam	10	351226393
WT	9	1	349862097	fucci-wt-single-f11-r5-c3_S129_.trimmed.mdup.bam	9	349862097
BLM/RECQL5	11	1	350874687	blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	11	350874687
BLM/RECQL5	9	1	351074380	blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	9	351074380
BLM/RECQL5	13	1	415151895	blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	13	415151895
BLM/RECQL5	15	1	354917875	blm_recq5-2-single-c15-w17_.trimmed.mdup.bam	15	354917875
BLM/RECQL5	14	1	424691697	blm-recq5-2-single-f16-r2-c4_S550_.trimmed.mdup.bam	14	424691697
BLM/RECQL5	16	1	401159395	blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	16	401159395
BLM/RECQL5	17	1	416515842	blm-recq5-2-single-f8-r7-c2_S191_.trimmed.mdup.bam	17	416515842
RECQL5	13	1	383043513	recq5-2-single-f11-r5-c5_S327_.trimmed.mdup.bam	13	383043513
BLM/RECQL5	14	1	360427332	blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	14	360427332
BLM/RECQL5	13	1	368374593	blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	13	368374593
BLM/RECQL5	10	1	365347913	blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	10	365347913
BLM/RECQL5	10	1	324430486	blm-recq5-2-single-f16-r3-c1_S554_.trimmed.mdup.bam	10	324430486
RECQL5	15	1	375140087	recq5-2-single-f11-r2-c3_S304_.trimmed.mdup.bam	15	375140087
BLM/RECQL5	9	1	346432656	blm-recq5-2-single-f16-r4-c6_S566_.trimmed.mdup.bam	9	346432656
BLM/RECQL5	12	1	368003150	blm-recq5-2-single-f16-r1-c2_S541_.trimmed.mdup.bam	12	368003150
RECQL5	12	1	374292886	recq5-2-single-f11-r5-c6_S328_.trimmed.mdup.bam	12	374292886
RECQL5	10	1	347176231	recq5-2-single-f11-r4-c3_S318_.trimmed.mdup.bam	10	347176231
RECQL5	12	1	346975617	recq5-2-single-f11-r5-c7_S329_.trimmed.mdup.bam	12	346975617
BLM/RECQL5	17	1	335777658	blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	17	335777658
BLM/RECQL5	12	1	347987050	blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	12	347987050
WT	12	1	356519490	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam	12	356519490
