ID	TD	ploidy	td_sum	file	norm_td	norm
WT	9	1	349929242	fucci-wt-single-f11-r6-c5_S138_.trimmed.mdup.bam	9	349929242
WT	8	1	330364732	fucci-wt-single-f11-r5-c4_S130_.trimmed.mdup.bam	8	330364732
WT	8	1	350356257	fucci-wt-single-f8-r4-c4_S74_.trimmed.mdup.bam	8	350356257
WT	8	1	328663887	fucci-wt-single-f12-r2-c7_S161_.trimmed.mdup.bam	8	328663887
WT	11	1	349029575	fucci-wt-single-f8-r5-c3_S80_.trimmed.mdup.bam	11	349029575
BLM/RECQL5	7	1	329962613	blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	7	329962613
WT	9	1	369796238	fucci-wt-single-f12-r1-c4_S151_.trimmed.mdup.bam	9	369796238
RECQL5	8	1	354290896	recq5-2-single-f11-r6-c3_S332_.trimmed.mdup.bam	8	354290896
RECQL5	12	1	355099829	recq5-2-single-f11-r3-c2_S310_.trimmed.mdup.bam	12	355099829
RECQL5	12	1	354327442	recq5-2-single-f9-r3-c2_S212_.trimmed.mdup.bam	12	354327442
WT	13	1	355200170	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam	13	355200170
RECQL5	13	1	350040015	recq5-2-single-f9-r7-c2_S240_.trimmed.mdup.bam	13	350040015
WT	12	1	332588562	fucci-wt-single-f11-r7-c6_S146_.trimmed.mdup.bam	12	332588562
BLM/RECQL5	7	1	329539895	blm-recq5-2-single-f16-r3-c5_S558_.trimmed.mdup.bam	7	329539895
BLM/RECQL5	13	1	330320653	blm-recq5-2-single-f8-r6-c2_S184_.trimmed.mdup.bam	13	330320653
WT	13	1	358302773	fucci-wt-single-f7-r1-c4_S4_.trimmed.mdup.bam	13	358302773
RECQL5	16	1	356977456	recq5-2-single-f10-r5-c3_S276_.trimmed.mdup.bam	16	356977456
WT	11	1	358029414	fucci-wt-single-f12-r1-c1_S148_.trimmed.mdup.bam	11	358029414
WT	9	1	355924286	fucci-wt-single-f7-r3-c5_S19_.trimmed.mdup.bam	9	355924286
WT	12	1	398941278	fucci-wt-single-f11-r1-c7_S105_.trimmed.mdup.bam	12	398941278
WT	11	1	396139023	fucci-wt-single-f11-r1-c6_S104_.trimmed.mdup.bam	11	396139023
WT	13	1	395187840	fucci-wt-single-f8-r2-c4_S60_.trimmed.mdup.bam	13	395187840
WT	10	1	352783933	fucci-wt-single-f12-r2-c1_S155_.trimmed.mdup.bam	10	352783933
WT	11	1	373368856	fucci-wt-single-f8-r4-c5_S75_.trimmed.mdup.bam	11	373368856
WT	10	1	375864080	fucci-wt-single-f8-r2-c6_S62_.trimmed.mdup.bam	10	375864080
WT	11	1	394693803	fucci-wt-single-f8-r3-c6_S69_.trimmed.mdup.bam	11	394693803
RECQL5	12	1	376500853	recq5-2-single-f11-r5-c3_S325_.trimmed.mdup.bam	12	376500853
BLM/RECQL5	5	1	329590206	blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	5	329590206
BLM/RECQL5	9	1	329623379	blm_recq5-2-single-c16-w5_.trimmed.mdup.bam	9	329623379
WT	6	1	328529767	wt-fucci-single-c15-w45-3d6_S611_.trimmed.mdup.bam	6	328529767
BLM/RECQL5	8	1	331947613	blm_recq5-2-single-c15-w41_.trimmed.mdup.bam	8	331947613
BLM/RECQL5	9	1	348121582	blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	9	348121582
WT	9	1	370789339	fucci-wt-single-f7-r2-c6_S13_.trimmed.mdup.bam	9	370789339
BLM/RECQL5	9	1	327566711	blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	9	327566711
WT	12	1	347139667	fucci-wt-single-f12-r6-c2_S184_.trimmed.mdup.bam	12	347139667
BLM/RECQL5	8	1	322332117	blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	8	322332117
BLM/RECQL5	13	1	323882540	blm-recq5-2-single-f16-r4-c6_S566_.trimmed.mdup.bam	13	323882540
BLM/RECQL5	7	1	326958708	blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	7	326958708
WT	8	1	368716789	fucci-wt-single-f8-r2-c5_S61_.trimmed.mdup.bam	8	368716789
RECQL5	9	1	330952370	recq5-2-single-f11-r2-c5_S306_.trimmed.mdup.bam	9	330952370
RECQL5	11	1	330626781	recq5-2-single-f11-r2-c4_S305_.trimmed.mdup.bam	11	330626781
RECQL5	7	1	329223244	recq5-2-single-f11-r2-c1_S302_.trimmed.mdup.bam	7	329223244
RECQL5	9	1	330356977	recq5-2-single-f11-r3-c6_S314_.trimmed.mdup.bam	9	330356977
RECQL5	12	1	330631589	recq5-2-single-f11-r2-c3_S304_.trimmed.mdup.bam	12	330631589
BLM/RECQL5	7	1	323976278	blm-recq5-2-single-f16-r3-c1_S554_.trimmed.mdup.bam	7	323976278
RECQL5	9	1	350193001	recq5-2-single-f11-r5-c6_S328_.trimmed.mdup.bam	9	350193001
BLM/RECQL5	8	1	353252778	blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	8	353252778
BLM/RECQL5	8	1	351689154	blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	8	351689154
WT	14	1	376365631	fucci-wt-single-f8-r5-c4_S81_.trimmed.mdup.bam	14	376365631
BLM/RECQL5	10	1	354001300	blm_recq5-2-single-c16-w28_.trimmed.mdup.bam	10	354001300
RECQL5	9	1	372072265	recq5-2-single-c11-w9_.trimmed.mdup.bam	9	372072265
BLM/RECQL5	6	1	339550392	blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	6	339550392
BLM/RECQL5	12	1	336805441	blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	12	336805441
BLM/RECQL5	6	1	331286886	blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	6	331286886
BLM/RECQL5	13	1	360708494	blm-recq5-2-single-f8-r3-c2_S163_.trimmed.mdup.bam	13	360708494
WT	11	1	341429459	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam	11	341429459
BLM/RECQL5	11	1	335726883	blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	11	335726883
BLM/RECQL5	11	1	348581206	blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	11	348581206
BLM/RECQL5	14	1	383159757	blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	14	383159757
WT	13	1	384574218	fucci-wt-single-f8-r1-c6_S55_.trimmed.mdup.bam	13	384574218
BLM/RECQL5	9	1	335818402	blm_recq5-2-single-c15-w17_.trimmed.mdup.bam	9	335818402
BLM/RECQL5	19	1	356121078	blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	19	356121078
BLM/RECQL5	10	1	336940241	blm-recq5-2-single-c12-w24-3d6_S467_.trimmed.mdup.bam	10	336940241
BLM/RECQL5	11	1	338325438	blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	11	338325438
BLM/RECQL5	13	1	383901067	blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	13	383901067
BLM/RECQL5	17	1	361680527	blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	17	361680527
BLM/RECQL5	14	1	361858440	blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	14	361858440
BLM/RECQL5	7	1	335999691	blm_recq5-2-single-c16-w6_.trimmed.mdup.bam	7	335999691
BLM/RECQL5	11	1	386311055	blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	11	386311055
BLM/RECQL5	9	1	358912727	blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	9	358912727
BLM/RECQL5	10	1	364681850	blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	10	364681850
BLM/RECQL5	12	1	334378697	blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	12	334378697
BLM/RECQL5	9	1	336367621	blm_recq5-2-single-c16-w19_.trimmed.mdup.bam	9	336367621
WT	12	1	355502666	fucci-wt-single-f12-r7-c1_S190_.trimmed.mdup.bam	12	355502666
BLM/RECQL5	13	1	347427307	blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	13	347427307
RECQL5	6	1	322618779	recq5-2-single-f11-r4-c3_S318_.trimmed.mdup.bam	6	322618779
RECQL5	12	1	322969089	recq5-2-single-f11-r5-c7_S329_.trimmed.mdup.bam	12	322969089
RECQL5	14	1	330372018	recq5-2-single-f11-r6-c7_S336_.trimmed.mdup.bam	14	330372018
WT	12	1	350454320	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam	12	350454320
WT	9	1	346616424	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam	9	346616424
WT	9	1	328006361	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam	9	328006361
BLM/RECQL5	11	1	380134529	blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	11	380134529
BLM/RECQL5	13	1	301416784	blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	13	301416784
BLM/RECQL5	9	1	282090390	blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	9	282090390
WT	17	1	339011176	fucci-wt-single-f11-r2-c3_S108_.trimmed.mdup.bam	17	339011176
WT	10	1	321635004	fucci-wt-single-f11-r6-c3_S136_.trimmed.mdup.bam	10	321635004
BLM/RECQL5	21	1	299994654	blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	21	299994654
WT	7	1	323225139	fucci-wt-single-f11-r6-c7_S140_.trimmed.mdup.bam	7	323225139
BLM/RECQL5	24	1	325592688	blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	24	325592688
WT	11	1	325772571	fucci-wt-single-f11-r2-c7_S112_.trimmed.mdup.bam	11	325772571
RECQL5	27	1	296184249	recq5-2-single-f10-r2-c3_S255_.trimmed.mdup.bam	27	296184249
