ID	TD	ploidy	td_sum	file	norm_td	norm	name
RECQL5	11	1	309961270	recq5-2-single-f10-r7-c2_S289_.trimmed.mdup.bam	11	309961270	EDIVISIVE
BLM/RECQL5	15	1	353386464	blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam	15	353386464	EDIVISIVE
BLM/RECQL5	16	1	363395247	blm_recq5-2-single-c16-w16_.trimmed.mdup.bam	16	363395247	EDIVISIVE
BLM/RECQL5	11	1	410577800	blm_recq5-2-single-c15-w21_.trimmed.mdup.bam	11	410577800	EDIVISIVE
BLM/RECQL5	14	1	420859316	blm-recq5-1-single-f15-r1-c6_S496_.trimmed.mdup.bam	14	420859316	EDIVISIVE
BLM/RECQL5	7	1	402872634	blm-recq5-2-single-f16-r2-c4_S550_.trimmed.mdup.bam	7	402872634	EDIVISIVE
BLM/RECQL5	8	1	382644071	blm-recq5-2-single-f16-r4-c2_S562_.trimmed.mdup.bam	8	382644071	EDIVISIVE
BLM/RECQL5	13	1	338725253	blm-recq5-1-single-f15-r3-c6_S510_.trimmed.mdup.bam	13	338725253	EDIVISIVE
BLM/RECQL5	19	1	332810004	blm-recq5-1-single-f14-r3-c6_S461_.trimmed.mdup.bam	19	332810004	EDIVISIVE
BLM/RECQL5	14	1	317052392	blm-recq5-2-single-f16-r6-c5_S579_.trimmed.mdup.bam	14	317052392	EDIVISIVE
RECQL5	13	1	332129983	recq5-2-single-f10-r7-c6_S293_.trimmed.mdup.bam	13	332129983	EDIVISIVE
BLM/RECQL5	12	1	372465940	blm-recq5-2-single-f8-r7-c2_S191_.trimmed.mdup.bam	12	372465940	EDIVISIVE
RECQL5	14	1	360105292	recq5-2-single-f11-r5-c5_S327_.trimmed.mdup.bam	14	360105292	EDIVISIVE
BLM/RECQL5	11	1	331173264	blm-recq5-2-single-c4-w19-3d6_S85_.trimmed.mdup.bam	11	331173264	EDIVISIVE
BLM/RECQL5	12	1	343557474	blm-recq5-1-single-c3-w19-3d6_S60_.trimmed.mdup.bam	12	343557474	EDIVISIVE
WT	12	1	380792805	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam	12	380792805	EDIVISIVE
BLM/RECQL5	11	1	355408206	blm_recq5-2-single-c16-w34_.trimmed.mdup.bam	11	355408206	EDIVISIVE
BLM/RECQL5	10	1	357852912	blm_recq5-2-single-c16-w45_.trimmed.mdup.bam	10	357852912	EDIVISIVE
BLM/RECQL5	8	1	350354967	blm_recq5-2-single-c16-w26_.trimmed.mdup.bam	8	350354967	EDIVISIVE
WT	9	1	354387415	fucci-wt-single-f11-r4-c5_S124_.trimmed.mdup.bam	9	354387415	EDIVISIVE
WT	9	1	376121913	fucci-wt-single-f7-r3-c4_S18_.trimmed.mdup.bam	9	376121913	EDIVISIVE
RECQL5	11	1	328752236	recq5-2-single-f11-r4-c5_S320_.trimmed.mdup.bam	11	328752236	EDIVISIVE
BLM/RECQL5	13	1	329370783	blm-recq5-2-single-f16-r1-c2_S541_.trimmed.mdup.bam	13	329370783	EDIVISIVE
BLM/RECQL5	14	1	351109317	blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam	14	351109317	EDIVISIVE
WT	13	1	329760699	fucci-wt-single-f7-r3-c6_S20_.trimmed.mdup.bam	13	329760699	EDIVISIVE
BLM/RECQL5	9	1	326505948	blm_recq5-2-single-c16-w21_.trimmed.mdup.bam	9	326505948	EDIVISIVE
WT	12	1	349801231	fucci-wt-single-f11-r4-c2_S121_.trimmed.mdup.bam	12	349801231	EDIVISIVE
WT	10	1	334301783	fucci-wt-single-f7-r6-c7_S42_.trimmed.mdup.bam	10	334301783	EDIVISIVE
BLM/RECQL5	8	1	329065262	blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	8	329065262	EDIVISIVE
WT	8	1	327137295	fucci-wt-single-f11-r5-c3_S129_.trimmed.mdup.bam	8	327137295	EDIVISIVE
BLM/RECQL5	10	1	328059809	blm-recq5-2-single-f12-r2-c4_S354_.trimmed.mdup.bam	10	328059809	EDIVISIVE
WT	8	1	350731170	fucci-wt-single-f11-r2-c6_S111_.trimmed.mdup.bam	8	350731170	EDIVISIVE
BLM	10	1	350375620	blm-1-single-c10-w15_.trimmed.mdup.bam	10	350375620	EDIVISIVE
BLM/RECQL5	9	1	328786015	blm_recq5-2-single-c16-w33_.trimmed.mdup.bam	9	328786015	EDIVISIVE
WT	7	1	329214760	fucci-wt-single-f12-r4-c4_S172_.trimmed.mdup.bam	7	329214760	EDIVISIVE
WT	12	1	350744882	fucci-wt-single-f8-r7-c4_S95_.trimmed.mdup.bam	12	350744882	EDIVISIVE
BLM/RECQL5	8	1	330195455	blm-recq5-2-single-f12-r3-c2_S359_.trimmed.mdup.bam	8	330195455	EDIVISIVE
BLM/RECQL5	6	1	326779508	blm-recq5-2-single-c12-w39-3d6_S482_.trimmed.mdup.bam	6	326779508	EDIVISIVE
WT	6	1	349343145	fucci-wt-single-f11-r3-c7_S119_.trimmed.mdup.bam	6	349343145	EDIVISIVE
WT	6	1	328910610	fucci-wt-single-f11-r5-c7_S133_.trimmed.mdup.bam	6	328910610	EDIVISIVE
WT	9	1	349399282	fucci-wt-single-f11-r1-c2_S100_.trimmed.mdup.bam	9	349399282	EDIVISIVE
WT	6	1	348975808	fucci-wt-single-f11-r4-c1_S120_.trimmed.mdup.bam	6	348975808	EDIVISIVE
BLM/RECQL5	5	1	326555924	blm-recq5-2-single-f16-r4-c1_S561_.trimmed.mdup.bam	5	326555924	EDIVISIVE
BLM/RECQL5	7	1	349260188	blm-recq5-2-single-f16-r7-c1_S582_.trimmed.mdup.bam	7	349260188	EDIVISIVE
RECQL5	10	1	352069003	recq5-2-single-f10-r5-c4_S277_.trimmed.mdup.bam	10	352069003	EDIVISIVE
BLM/RECQL5	6	1	349260188	blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	6	349260188	EDIVISIVE
BLM/RECQL5	10	1	350682925	blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	10	350682925	EDIVISIVE
WT	10	1	350098352	fucci-wt-single-f11-r3-c5_S117_.trimmed.mdup.bam	10	350098352	EDIVISIVE
BLM/RECQL5	11	1	351915638	blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	11	351915638	EDIVISIVE
WT	8	1	330075052	fucci-wt-single-f7-r6-c1_S36_.trimmed.mdup.bam	8	330075052	EDIVISIVE
BLM/RECQL5	10	1	376233694	blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	10	376233694	EDIVISIVE
BLM/RECQL5	10	1	350019645	blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	10	350019645	EDIVISIVE
WT	10	1	354872294	fucci-wt-single-f7-r6-c3_S38_.trimmed.mdup.bam	10	354872294	EDIVISIVE
BLM/RECQL5	7	1	330018985	blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	7	330018985	EDIVISIVE
WT	10	1	330018985	fucci-wt-single-f7-r2-c4_S11_.trimmed.mdup.bam	10	330018985	EDIVISIVE
BLM/RECQL5	9	1	328347029	blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	9	328347029	EDIVISIVE
WT	9	1	330364732	fucci-wt-single-f7-r7-c4_S46_.trimmed.mdup.bam	9	330364732	EDIVISIVE
WT	9	1	327138192	fucci-wt-single-f12-r2-c3_S157_.trimmed.mdup.bam	9	327138192	EDIVISIVE
WT	10	1	349943597	fucci-wt-single-f7-r4-c5_S26_.trimmed.mdup.bam	10	349943597	EDIVISIVE
WT	9	1	349929242	fucci-wt-single-f11-r6-c5_S138_.trimmed.mdup.bam	9	349929242	EDIVISIVE
WT	8	1	330364732	fucci-wt-single-f11-r5-c4_S130_.trimmed.mdup.bam	8	330364732	EDIVISIVE
WT	8	1	350356257	fucci-wt-single-f8-r4-c4_S74_.trimmed.mdup.bam	8	350356257	EDIVISIVE
WT	8	1	328663887	fucci-wt-single-f12-r2-c7_S161_.trimmed.mdup.bam	8	328663887	EDIVISIVE
WT	11	1	349029575	fucci-wt-single-f8-r5-c3_S80_.trimmed.mdup.bam	11	349029575	EDIVISIVE
BLM/RECQL5	7	1	329962613	blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	7	329962613	EDIVISIVE
WT	9	1	369796238	fucci-wt-single-f12-r1-c4_S151_.trimmed.mdup.bam	9	369796238	EDIVISIVE
RECQL5	8	1	354290896	recq5-2-single-f11-r6-c3_S332_.trimmed.mdup.bam	8	354290896	EDIVISIVE
RECQL5	12	1	355099829	recq5-2-single-f11-r3-c2_S310_.trimmed.mdup.bam	12	355099829	EDIVISIVE
RECQL5	12	1	354327442	recq5-2-single-f9-r3-c2_S212_.trimmed.mdup.bam	12	354327442	EDIVISIVE
WT	13	1	355200170	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam	13	355200170	EDIVISIVE
RECQL5	13	1	350040015	recq5-2-single-f9-r7-c2_S240_.trimmed.mdup.bam	13	350040015	EDIVISIVE
WT	12	1	332588562	fucci-wt-single-f11-r7-c6_S146_.trimmed.mdup.bam	12	332588562	EDIVISIVE
BLM/RECQL5	7	1	329539895	blm-recq5-2-single-f16-r3-c5_S558_.trimmed.mdup.bam	7	329539895	EDIVISIVE
BLM/RECQL5	13	1	330320653	blm-recq5-2-single-f8-r6-c2_S184_.trimmed.mdup.bam	13	330320653	EDIVISIVE
WT	13	1	358302773	fucci-wt-single-f7-r1-c4_S4_.trimmed.mdup.bam	13	358302773	EDIVISIVE
RECQL5	16	1	356977456	recq5-2-single-f10-r5-c3_S276_.trimmed.mdup.bam	16	356977456	EDIVISIVE
WT	11	1	358029414	fucci-wt-single-f12-r1-c1_S148_.trimmed.mdup.bam	11	358029414	EDIVISIVE
WT	9	1	355924286	fucci-wt-single-f7-r3-c5_S19_.trimmed.mdup.bam	9	355924286	EDIVISIVE
WT	12	1	398941278	fucci-wt-single-f11-r1-c7_S105_.trimmed.mdup.bam	12	398941278	EDIVISIVE
WT	11	1	396139023	fucci-wt-single-f11-r1-c6_S104_.trimmed.mdup.bam	11	396139023	EDIVISIVE
WT	13	1	395187840	fucci-wt-single-f8-r2-c4_S60_.trimmed.mdup.bam	13	395187840	EDIVISIVE
WT	10	1	352783933	fucci-wt-single-f12-r2-c1_S155_.trimmed.mdup.bam	10	352783933	EDIVISIVE
WT	11	1	373368856	fucci-wt-single-f8-r4-c5_S75_.trimmed.mdup.bam	11	373368856	EDIVISIVE
WT	10	1	375864080	fucci-wt-single-f8-r2-c6_S62_.trimmed.mdup.bam	10	375864080	EDIVISIVE
WT	11	1	394693803	fucci-wt-single-f8-r3-c6_S69_.trimmed.mdup.bam	11	394693803	EDIVISIVE
RECQL5	12	1	376500853	recq5-2-single-f11-r5-c3_S325_.trimmed.mdup.bam	12	376500853	EDIVISIVE
BLM/RECQL5	5	1	329590206	blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	5	329590206	EDIVISIVE
BLM/RECQL5	9	1	329623379	blm_recq5-2-single-c16-w5_.trimmed.mdup.bam	9	329623379	EDIVISIVE
WT	6	1	328529767	wt-fucci-single-c15-w45-3d6_S611_.trimmed.mdup.bam	6	328529767	EDIVISIVE
BLM/RECQL5	8	1	331947613	blm_recq5-2-single-c15-w41_.trimmed.mdup.bam	8	331947613	EDIVISIVE
BLM/RECQL5	9	1	348121582	blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	9	348121582	EDIVISIVE
WT	9	1	370789339	fucci-wt-single-f7-r2-c6_S13_.trimmed.mdup.bam	9	370789339	EDIVISIVE
BLM/RECQL5	9	1	327566711	blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	9	327566711	EDIVISIVE
WT	12	1	347139667	fucci-wt-single-f12-r6-c2_S184_.trimmed.mdup.bam	12	347139667	EDIVISIVE
BLM/RECQL5	8	1	322332117	blm-recq5-2-single-f12-r2-c3_S353_.trimmed.mdup.bam	8	322332117	EDIVISIVE
BLM/RECQL5	13	1	323882540	blm-recq5-2-single-f16-r4-c6_S566_.trimmed.mdup.bam	13	323882540	EDIVISIVE
BLM/RECQL5	7	1	326958708	blm-recq5-2-single-f16-r2-c7_S553_.trimmed.mdup.bam	7	326958708	EDIVISIVE
WT	8	1	368716789	fucci-wt-single-f8-r2-c5_S61_.trimmed.mdup.bam	8	368716789	EDIVISIVE
RECQL5	9	1	330952370	recq5-2-single-f11-r2-c5_S306_.trimmed.mdup.bam	9	330952370	EDIVISIVE
RECQL5	11	1	330626781	recq5-2-single-f11-r2-c4_S305_.trimmed.mdup.bam	11	330626781	EDIVISIVE
RECQL5	7	1	329223244	recq5-2-single-f11-r2-c1_S302_.trimmed.mdup.bam	7	329223244	EDIVISIVE
RECQL5	9	1	330356977	recq5-2-single-f11-r3-c6_S314_.trimmed.mdup.bam	9	330356977	EDIVISIVE
RECQL5	12	1	330631589	recq5-2-single-f11-r2-c3_S304_.trimmed.mdup.bam	12	330631589	EDIVISIVE
BLM/RECQL5	7	1	323976278	blm-recq5-2-single-f16-r3-c1_S554_.trimmed.mdup.bam	7	323976278	EDIVISIVE
RECQL5	9	1	350193001	recq5-2-single-f11-r5-c6_S328_.trimmed.mdup.bam	9	350193001	EDIVISIVE
BLM/RECQL5	8	1	353252778	blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	8	353252778	EDIVISIVE
BLM/RECQL5	8	1	351689154	blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	8	351689154	EDIVISIVE
WT	14	1	376365631	fucci-wt-single-f8-r5-c4_S81_.trimmed.mdup.bam	14	376365631	EDIVISIVE
BLM/RECQL5	10	1	354001300	blm_recq5-2-single-c16-w28_.trimmed.mdup.bam	10	354001300	EDIVISIVE
RECQL5	9	1	372072265	recq5-2-single-c11-w9_.trimmed.mdup.bam	9	372072265	EDIVISIVE
BLM/RECQL5	6	1	339550392	blm-recq5-2-single-f16-r1-c4_S543_.trimmed.mdup.bam	6	339550392	EDIVISIVE
BLM/RECQL5	12	1	336805441	blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	12	336805441	EDIVISIVE
BLM/RECQL5	6	1	331286886	blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	6	331286886	EDIVISIVE
BLM/RECQL5	13	1	360708494	blm-recq5-2-single-f8-r3-c2_S163_.trimmed.mdup.bam	13	360708494	EDIVISIVE
WT	11	1	341429459	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam	11	341429459	EDIVISIVE
BLM/RECQL5	11	1	335726883	blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	11	335726883	EDIVISIVE
BLM/RECQL5	11	1	348581206	blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	11	348581206	EDIVISIVE
BLM/RECQL5	14	1	383159757	blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	14	383159757	EDIVISIVE
WT	13	1	384574218	fucci-wt-single-f8-r1-c6_S55_.trimmed.mdup.bam	13	384574218	EDIVISIVE
BLM/RECQL5	9	1	335818402	blm_recq5-2-single-c15-w17_.trimmed.mdup.bam	9	335818402	EDIVISIVE
BLM/RECQL5	19	1	356121078	blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	19	356121078	EDIVISIVE
BLM/RECQL5	10	1	336940241	blm-recq5-2-single-c12-w24-3d6_S467_.trimmed.mdup.bam	10	336940241	EDIVISIVE
BLM/RECQL5	11	1	338325438	blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	11	338325438	EDIVISIVE
BLM/RECQL5	13	1	383901067	blm-recq5-1-single-f15-r2-c2_S499_.trimmed.mdup.bam	13	383901067	EDIVISIVE
BLM/RECQL5	17	1	361680527	blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	17	361680527	EDIVISIVE
BLM/RECQL5	14	1	361858440	blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	14	361858440	EDIVISIVE
BLM/RECQL5	7	1	335999691	blm_recq5-2-single-c16-w6_.trimmed.mdup.bam	7	335999691	EDIVISIVE
BLM/RECQL5	11	1	386311055	blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	11	386311055	EDIVISIVE
BLM/RECQL5	9	1	358912727	blm-recq5-1-single-f15-r6-c4_S529_.trimmed.mdup.bam	9	358912727	EDIVISIVE
BLM/RECQL5	10	1	364681850	blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	10	364681850	EDIVISIVE
BLM/RECQL5	12	1	334378697	blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	12	334378697	EDIVISIVE
BLM/RECQL5	9	1	336367621	blm_recq5-2-single-c16-w19_.trimmed.mdup.bam	9	336367621	EDIVISIVE
WT	12	1	355502666	fucci-wt-single-f12-r7-c1_S190_.trimmed.mdup.bam	12	355502666	EDIVISIVE
BLM/RECQL5	13	1	347427307	blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	13	347427307	EDIVISIVE
RECQL5	6	1	322618779	recq5-2-single-f11-r4-c3_S318_.trimmed.mdup.bam	6	322618779	EDIVISIVE
RECQL5	12	1	322969089	recq5-2-single-f11-r5-c7_S329_.trimmed.mdup.bam	12	322969089	EDIVISIVE
RECQL5	14	1	330372018	recq5-2-single-f11-r6-c7_S336_.trimmed.mdup.bam	14	330372018	EDIVISIVE
WT	12	1	350454320	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam	12	350454320	EDIVISIVE
WT	9	1	346616424	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam	9	346616424	EDIVISIVE
WT	9	1	328006361	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam	9	328006361	EDIVISIVE
BLM/RECQL5	11	1	380134529	blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	11	380134529	EDIVISIVE
BLM/RECQL5	13	1	301416784	blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	13	301416784	EDIVISIVE
BLM/RECQL5	9	1	282090390	blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	9	282090390	EDIVISIVE
WT	17	1	339011176	fucci-wt-single-f11-r2-c3_S108_.trimmed.mdup.bam	17	339011176	EDIVISIVE
WT	10	1	321635004	fucci-wt-single-f11-r6-c3_S136_.trimmed.mdup.bam	10	321635004	EDIVISIVE
BLM/RECQL5	21	1	299994654	blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	21	299994654	EDIVISIVE
WT	7	1	323225139	fucci-wt-single-f11-r6-c7_S140_.trimmed.mdup.bam	7	323225139	EDIVISIVE
BLM/RECQL5	24	1	325592688	blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	24	325592688	EDIVISIVE
WT	11	1	325772571	fucci-wt-single-f11-r2-c7_S112_.trimmed.mdup.bam	11	325772571	EDIVISIVE
RECQL5	27	1	296184249	recq5-2-single-f10-r2-c3_S255_.trimmed.mdup.bam	27	296184249	EDIVISIVE
BLM/RECQL5	16	1	307650423	blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	16	307650423	EDIVISIVE
RECQL5	9	1	330259387	recq5-2-single-f11-r4-c7_S322_.trimmed.mdup.bam	9	330259387	EDIVISIVE
RECQL5	31	1	315365336	recq5-2-single-f11-r5-c2_S324_.trimmed.mdup.bam	31	315365336	EDIVISIVE
BLM/RECQL5	31	1	314041851	blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	31	314041851	EDIVISIVE
BLM/RECQL5	22	1	300416400	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	22	300416400	EDIVISIVE
BLM/RECQL5	19	1	288648400	blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	19	288648400	EDIVISIVE
BLM/RECQL5	30	1	305767256	blm-recq5-2-single-f16-r4-c4_S564_.trimmed.mdup.bam	30	305767256	EDIVISIVE
BLM/RECQL5	34	1	316140973	blm_recq5-2-single-c15-w24_.trimmed.mdup.bam	34	316140973	EDIVISIVE
BLM/RECQL5	34	1	255025421	blm_recq5-2-single-c15-w27_.trimmed.mdup.bam	34	255025421	EDIVISIVE
BLM/RECQL5	29	1	278754860	blm-recq5-1-single-f14-r7-c6_S489_.trimmed.mdup.bam	29	278754860	EDIVISIVE
BLM/RECQL5	21	1	308136940	blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	21	308136940	EDIVISIVE
WT	14	1	398473333	fucci-wt-single-f7-r5-c5_S33_.trimmed.mdup.bam	14	398473333	EDIVISIVE
BLM/RECQL5	7	1	420295679	blm-recq5-2-single-f16-r5-c5_S572_.trimmed.mdup.bam	7	420295679	EDIVISIVE
RECQL5	11	1	351177873	recq5-2-single-f9-r4-c2_S219_.trimmed.mdup.bam	11	351177873	EDIVISIVE
BLM/RECQL5	10	1	576731198	blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	10	576731198	EDIVISIVE
BLM/RECQL5	21	1	316283574	blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	21	316283574	EDIVISIVE
BLM/RECQL5	13	1	360650981	blm-recq5-2-single-f16-r3-c6_S559_.trimmed.mdup.bam	13	360650981	EDIVISIVE
BLM/RECQL5	14	1	351932669	blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	14	351932669	EDIVISIVE
BLM/RECQL5	12	1	365423777	blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	12	365423777	EDIVISIVE
BLM/RECQL5	9	1	353593475	blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	9	353593475	EDIVISIVE
BLM/RECQL5	9	1	339573603	blm-recq5-2-single-f16-r5-c7_S574_.trimmed.mdup.bam	9	339573603	EDIVISIVE
BLM/RECQL5	15	1	331214521	blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	15	331214521	EDIVISIVE
BLM/RECQL5	10	1	400575022	blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	10	400575022	EDIVISIVE
BLM/RECQL5	30	1	284728506	blm-recq5-1-single-f13-r3-c1_S407_.trimmed.mdup.bam	30	284728506	EDIVISIVE
BLM/RECQL5	40	1	259185320	blm-recq5-1-single-f14-r2-c4_S452_.trimmed.mdup.bam	40	259185320	EDIVISIVE
BLM/RECQL5	97	1	469897348	blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	97	469897348	EDIVISIVE
BLM/RECQL5	66	1	281613167	blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	66	281613167	EDIVISIVE
BLM/RECQL5	49	1	211395241	blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	49	211395241	EDIVISIVE
BLM/RECQL5	36	1	236200151	blm-recq5-2-single-f12-r4-c2_S366_.trimmed.mdup.bam	36	236200151	EDIVISIVE
BLM/RECQL5	45	1	248282239	blm-recq5-1-single-f15-r4-c5_S516_.trimmed.mdup.bam	45	248282239	EDIVISIVE
BLM/RECQL5	32	1	238681370	blm-recq5-1-single-f15-r4-c6_S517_.trimmed.mdup.bam	32	238681370	EDIVISIVE
BLM/RECQL5	32	1	295389822	blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	32	295389822	EDIVISIVE
BLM/RECQL5	21	1	332645123	blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	21	332645123	EDIVISIVE
BLM/RECQL5	34	1	293712101	blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	34	293712101	EDIVISIVE
